Date, Freshness 
2019-11-01,0.50
2019-11-02,0.25
2019-11-03,0.25
2019-11-04,0.25
2019-11-05,0.38
2019-11-06,0.41
2019-11-07,0.39
2019-11-08,0.69
2019-11-09,0.82
2019-11-10,0.78
2019-11-11,0.83
2019-11-12,0.81
2019-11-13,0.65
2019-11-14,0.56
2019-11-15,0.54
2019-11-16,0.65
2019-11-17,0.66
2019-11-18,0.57
2019-11-19,0.50
2019-11-20,0.34
2019-11-21,0.36
2019-11-22,0.43
2019-11-23,0.53
2019-11-24,0.75
2019-11-25,0.50
2019-11-26,0.47
2019-11-27,0.33
2019-11-28,0.51
2019-11-29,0.76
2019-11-30,0.64
2019-12-01,0.71
2019-12-02,0.77
2019-12-03,0.82
2019-12-04,0.85
2019-12-05,0.79
2019-12-06,0.77
2019-12-07,0.84
2019-12-08,0.53
2019-12-09,0.00
2019-12-10,0.41
2019-12-11,0.42
2019-12-12,0.00
2019-12-13,0.25
2019-12-14,0.38
2019-12-15,0.48
2019-12-16,0.41
2019-12-17,0.47
2019-12-18,0.78
2019-12-19,0.77
2019-12-20,0.78
2019-12-21,0.82
2019-12-22,0.62
2019-12-23,0.69
2019-12-24,0.77
2019-12-25,0.63
2019-12-26,0.62
2019-12-27,0.50
2019-12-28,0.29
2019-12-29,0.46
2019-12-30,0.72
2019-12-31,0.85
2020-01-01,0.83
2020-01-02,0.83
2020-01-03,0.83
2020-01-04,0.85
2020-01-05,0.85
2020-01-06,0.79
2020-01-07,0.55
2020-01-08,0.60
2020-01-09,0.57
2020-01-10,0.55
2020-01-11,0.50
2020-01-12,0.49
2020-01-13,0.66
2020-01-14,0.71
2020-01-15,0.78
2020-01-16,0.62
2020-01-17,0.78
2020-01-18,0.79
2020-01-19,0.00
2020-01-20,0.43
2020-01-21,0.47
2020-01-22,0.52
2020-01-23,0.50
2020-01-24,0.41
2020-01-25,0.54
2020-01-26,0.64
2020-01-27,0.70
2020-01-28,0.76
2020-01-29,0.81
2020-01-30,0.78
2020-01-31,0.81
2020-02-01,0.80
2020-02-02,0.76
2020-02-03,0.76
2020-02-04,0.55
2020-02-05,0.73
2020-02-06,0.52
2020-02-07,0.75
2020-02-08,0.80
2020-02-09,0.00
2020-02-10,0.00
2020-02-11,0.42
2020-02-12,0.50
2020-02-13,0.36
2020-02-14,0.25
2020-02-15,0.30
2020-02-16,0.25
2020-02-17,0.32
2020-02-18,0.31
2020-02-19,0.57
2020-02-20,0.66
2020-02-21,0.75
2020-02-22,0.83
2020-02-23,0.78
2020-02-24,0.00
2020-02-25,0.00
2020-02-26,0.41
2020-02-27,0.30
2020-02-28,0.25
2020-02-29,0.25
2020-03-01,0.25
2020-03-02,0.31
2020-03-03,0.25
2020-03-04,0.25
2020-03-05,0.48
2020-03-06,0.67
2020-03-07,0.74
2020-03-08,0.79
2020-03-09,0.77
2020-03-10,0.79
2020-03-11,0.00
2020-03-12,0.35
2020-03-13,0.40
2020-03-14,0.40
2020-03-15,0.50
2020-03-16,0.49
2020-03-17,0.43
2020-03-18,0.42
2020-03-19,0.39
2020-03-20,0.47
2020-03-21,0.70
2020-03-22,0.75
2020-03-23,0.76
2020-03-24,0.77
2020-03-25,0.82
2020-03-26,0.83
2020-03-27,0.78
2020-03-28,0.84
2020-03-29,0.69
2020-03-30,0.65
2020-03-31,0.61
2020-04-01,0.58
2020-04-02,0.00
2020-04-03,0.38
2020-04-04,0.00
2020-04-05,0.25
2020-04-06,0.25
2020-04-07,0.35
2020-04-08,0.44
2020-04-09,0.46
2020-04-10,0.50
2020-04-11,0.65
2020-04-12,0.78
2020-04-13,0.80
2020-04-14,0.00
2020-04-15,0.42
2020-04-16,0.47
2020-04-17,0.65
2020-04-18,0.56
2020-04-19,0.50
2020-04-20,0.51
2020-04-21,0.51
2020-04-22,0.50
2020-04-23,0.45
2020-04-24,0.50
2020-04-25,0.46
2020-04-26,0.49
2020-04-27,0.50
2020-04-28,0.25
2020-04-29,0.40
2020-04-30,0.50
2020-05-01,0.47
2020-05-02,0.25
2020-05-03,0.39
2020-05-04,0.00
2020-05-05,0.25
2020-05-06,0.00
2020-05-07,0.25
2020-05-08,0.37
2020-05-09,0.44
2020-05-10,0.30
2020-05-11,0.40
2020-05-12,0.45
2020-05-13,0.25
2020-05-14,0.42
2020-05-15,0.71
2020-05-16,0.50
2020-05-17,0.57
2020-05-18,0.69
2020-05-19,0.83
2020-05-20,0.78
2020-05-21,0.50
2020-05-22,0.59
2020-05-23,0.00
2020-05-24,0.40
2020-05-25,0.48
2020-05-26,0.47
2020-05-27,0.50
2020-05-28,0.41
2020-05-29,0.00
2020-05-30,0.25
2020-05-31,0.37
2020-06-01,0.70
2020-06-02,0.74
2020-06-03,0.00
2020-06-04,0.52
2020-06-05,0.55
2020-06-06,0.73
2020-06-07,0.85
2020-06-08,0.72
2020-06-09,0.76
2020-06-10,0.82
2020-06-11,0.87
2020-06-12,0.82
2020-06-13,0.67
2020-06-14,0.74
2020-06-15,0.75
2020-06-16,0.52
2020-06-17,0.50
2020-06-18,0.25
2020-06-19,0.00
2020-06-20,0.00
2020-06-21,0.25
2020-06-22,0.25
2020-06-23,0.25
2020-06-24,0.25
2020-06-25,0.25
2020-06-26,0.45
2020-06-27,0.50
2020-06-28,0.28
2020-06-29,0.53
2020-06-30,0.74
2020-07-01,0.57
2020-07-02,0.00
2020-07-03,0.33
2020-07-04,0.25
2020-07-05,0.27
2020-07-06,0.25
2020-07-07,0.25
2020-07-08,0.28
2020-07-09,0.00
2020-07-10,0.00
2020-07-11,0.29
2020-07-12,0.54
2020-07-13,0.58
2020-07-14,0.63
2020-07-15,0.76
2020-07-16,0.85
2020-07-17,0.77
2020-07-18,0.84
2020-07-19,0.84
2020-07-20,0.79
2020-07-21,0.78
2020-07-22,0.00
2020-07-23,0.39
2020-07-24,0.25
2020-07-25,0.25
2020-07-26,0.29
2020-07-27,0.00
2020-07-28,0.35
2020-07-29,0.32
2020-07-30,0.25
2020-07-31,0.25
2020-08-01,0.55
2020-08-02,0.79
2020-08-03,0.68
2020-08-04,0.81
2020-08-05,0.85
2020-08-06,0.61
2020-08-07,0.68
2020-08-08,0.77
2020-08-09,0.71
2020-08-10,0.58
2020-08-11,0.74
2020-08-12,0.78
2020-08-13,0.85
2020-08-14,0.81
2020-08-15,0.87
2020-08-16,0.78
