Date, node, time since harvest, inventory quantity 
2018-08-23,supplier,9,0.00
2018-08-23,supplier,8,0.00
2018-08-23,supplier,7,0.00
2018-08-23,supplier,6,0.00
2018-08-23,supplier,5,0.00
2018-08-23,supplier,4,0.00
2018-08-23,supplier,3,0.00
2018-08-23,supplier,2,0.00
2018-08-23,supplier,1,0.00
2018-08-23,supplier,0,0.00
2018-08-23,retailer,9,0.00
2018-08-23,retailer,8,0.00
2018-08-23,retailer,7,0.00
2018-08-23,retailer,6,0.00
2018-08-23,retailer,5,0.00
2018-08-23,retailer,4,0.00
2018-08-23,retailer,3,0.00
2018-08-23,retailer,2,0.00
2018-08-23,retailer,1,0.00
2018-08-23,retailer,0,0.00
2018-08-24,supplier,9,0.00
2018-08-24,supplier,8,0.00
2018-08-24,supplier,7,0.00
2018-08-24,supplier,6,0.00
2018-08-24,supplier,5,0.00
2018-08-24,supplier,4,0.00
2018-08-24,supplier,3,0.00
2018-08-24,supplier,2,0.00
2018-08-24,supplier,1,0.00
2018-08-24,supplier,0,0.00
2018-08-24,retailer,9,0.00
2018-08-24,retailer,8,0.00
2018-08-24,retailer,7,0.00
2018-08-24,retailer,6,0.00
2018-08-24,retailer,5,0.00
2018-08-24,retailer,4,0.00
2018-08-24,retailer,3,0.00
2018-08-24,retailer,2,0.00
2018-08-24,retailer,1,0.00
2018-08-24,retailer,0,0.00
2018-08-25,supplier,9,0.00
2018-08-25,supplier,8,0.00
2018-08-25,supplier,7,0.00
2018-08-25,supplier,6,0.00
2018-08-25,supplier,5,0.00
2018-08-25,supplier,4,0.00
2018-08-25,supplier,3,0.00
2018-08-25,supplier,2,0.00
2018-08-25,supplier,1,0.00
2018-08-25,supplier,0,0.00
2018-08-25,retailer,9,0.00
2018-08-25,retailer,8,0.00
2018-08-25,retailer,7,0.00
2018-08-25,retailer,6,0.00
2018-08-25,retailer,5,0.00
2018-08-25,retailer,4,0.00
2018-08-25,retailer,3,0.00
2018-08-25,retailer,2,0.00
2018-08-25,retailer,1,0.00
