Date, Waste 
2018-08-23,0.00
2018-08-24,0.00
2018-08-25,0.00
2018-08-26,0.00
2018-08-27,0.00
2018-08-28,0.00
2018-08-29,0.00
2018-08-30,0.00
2018-08-31,0.00
2018-09-01,0.00
2018-09-02,0.00
2018-09-03,0.00
2018-09-04,0.87
2018-09-05,0.00
2018-09-06,0.00
2018-09-07,0.00
2018-09-08,0.00
2018-09-09,0.00
2018-09-10,0.00
2018-09-11,1.47
2018-09-12,11.08
2018-09-13,0.00
2018-09-14,0.00
2018-09-15,0.00
2018-09-16,0.00
2018-09-17,0.00
2018-09-18,0.00
2018-09-19,0.00
2018-09-20,0.00
2018-09-21,0.00
2018-09-22,0.00
2018-09-23,0.00
2018-09-24,0.00
2018-09-25,0.00
2018-09-26,4.36
2018-09-27,0.00
2018-09-28,0.00
2018-09-29,0.00
2018-09-30,0.00
2018-10-01,0.00
2018-10-02,2.77
2018-10-03,0.00
2018-10-04,0.00
2018-10-05,0.00
2018-10-06,4.12
2018-10-07,7.19
2018-10-08,3.61
2018-10-09,1.53
2018-10-10,1.90
2018-10-11,0.00
2018-10-12,0.00
2018-10-13,0.00
2018-10-14,0.00
2018-10-15,4.15
2018-10-16,7.04
2018-10-17,0.00
2018-10-18,0.00
2018-10-19,0.00
2018-10-20,5.31
2018-10-21,9.22
2018-10-22,3.97
2018-10-23,3.80
2018-10-24,0.00
2018-10-25,0.00
2018-10-26,0.00
2018-10-27,0.00
2018-10-28,0.00
2018-10-29,0.00
2018-10-30,0.00
2018-10-31,0.00
2018-11-01,0.00
2018-11-02,0.00
2018-11-03,0.00
2018-11-04,0.00
2018-11-05,0.00
2018-11-06,0.00
2018-11-07,0.00
2018-11-08,2.56
2018-11-09,13.07
2018-11-10,1.04
2018-11-11,10.99
2018-11-12,0.00
2018-11-13,0.00
2018-11-14,0.00
2018-11-15,0.00
2018-11-16,0.00
2018-11-17,3.21
2018-11-18,2.88
2018-11-19,0.00
2018-11-20,4.62
2018-11-21,9.22
2018-11-22,4.11
2018-11-23,14.27
2018-11-24,10.88
2018-11-25,1.75
2018-11-26,0.00
2018-11-27,0.00
2018-11-28,0.00
2018-11-29,0.00
2018-11-30,0.00
2018-12-01,0.00
2018-12-02,0.00
2018-12-03,0.00
2018-12-04,0.00
2018-12-05,0.00
2018-12-06,0.00
2018-12-07,1.64
2018-12-08,8.75
2018-12-09,11.86
2018-12-10,12.72
2018-12-11,3.30
2018-12-12,0.00
2018-12-13,0.00
2018-12-14,0.00
2018-12-15,0.00
2018-12-16,0.00
2018-12-17,0.00
2018-12-18,0.00
2018-12-19,0.00
2018-12-20,0.94
2018-12-21,3.74
2018-12-22,16.82
2018-12-23,9.28
2018-12-24,1.92
2018-12-25,0.00
2018-12-26,0.00
2018-12-27,0.00
2018-12-28,0.00
2018-12-29,0.00
2018-12-30,0.00
2018-12-31,0.00
2019-01-01,0.00
2019-01-02,0.00
2019-01-03,0.00
2019-01-04,0.35
2019-01-05,8.53
2019-01-06,4.73
2019-01-07,3.00
2019-01-08,0.00
2019-01-09,0.00
2019-01-10,0.00
2019-01-11,0.00
2019-01-12,0.00
2019-01-13,0.00
2019-01-14,0.00
2019-01-15,0.00
2019-01-16,1.53
2019-01-17,0.00
2019-01-18,6.41
2019-01-19,5.59
2019-01-20,2.13
2019-01-21,8.79
2019-01-22,5.99
2019-01-23,0.00
2019-01-24,0.00
2019-01-25,0.00
2019-01-26,0.00
2019-01-27,0.00
2019-01-28,0.00
2019-01-29,0.00
2019-01-30,0.00
2019-01-31,0.00
2019-02-01,0.00
2019-02-02,0.00
2019-02-03,0.00
2019-02-04,0.00
2019-02-05,0.00
